,3,6,9
0,38.38,74.25,132.76
1,27.14,72.93,90.69
2,29.2,33.49,73.75
3,14.93,25.68,36.46
4,21.63,26.26,53.33
5,44.0,68.48,105.62
6,46.86,79.59,142.81
7,20.53,51.49,69.04
8,15.9,24.99,45.37
9,41.09,65.24,84.51
10,28.67,43.65,81.31
11,21.01,47.56,61.76
12,28.43,57.48,62.89
13,13.78,15.07,16.07
14,21.4,39.56,57.16
15,28.35,43.65,78.87
16,13.52,21.32,33.98
17,14.72,12.25,34.72
18,26.93,42.63,124.92
19,10.98,12.31,13.08
20,23.84,22.56,46.65
21,32.95,48.07,82.33
22,9.14,13.49,14.16
23,30.03,45.01,49.43
24,30.87,39.72,134.52
25,12.78,7.49,52.08
26,4.71,15.94,8.25
27,7.27,10.61,11.37
28,32.26,50.31,77.22
29,17.27,36.23,60.82
30,36.57,72.37,115.27
31,15.66,10.96,46.74
32,9.1,6.24,21.49
33,3.71,14.17,6.7
34,21.02,35.99,61.15
35,8.35,7.53,20.7
36,41.29,79.82,95.83
37,7.92,11.37,38.98
38,29.09,47.01,57.85
39,29.68,62.05,104.94
40,30.54,35.39,71.34
41,16.64,21.14,74.35
42,5.64,7.63,10.92
43,6.49,7.98,9.86
44,8.21,9.0,12.65
45,26.01,41.06,73.57
46,26.7,19.71,62.17
47,7.98,16.23,8.36
48,8.21,15.79,9.61
49,16.13,23.38,60.74
50,17.97,11.16,61.64
51,13.54,28.57,28.81
52,35.04,68.48,84.48
53,5.79,19.94,13.05
54,24.52,21.41,54.19
55,21.41,55.09,56.41
56,5.86,15.8,10.26
57,27.03,24.0,52.42
58,21.08,41.66,55.52
59,21.39,52.19,70.87
60,17.95,50.29,67.58
61,6.91,21.77,21.52
62,10.54,10.28,12.81
63,13.43,24.78,46.32
64,22.62,42.07,71.45
65,17.01,28.79,57.23
66,8.36,9.47,19.86
67,15.76,41.6,48.68
68,16.15,13.7,48.04
69,33.35,82.16,128.71
70,6.24,17.44,13.8
71,19.3,79.13,68.06
72,19.85,21.91,39.49
73,23.98,35.14,54.61
74,6.15,9.6,13.37
75,25.79,45.54,66.61
76,6.82,11.66,8.82
77,9.01,22.39,34.61
78,6.6,19.41,26.29
79,5.9,12.15,16.15
80,11.61,16.33,16.31
81,23.55,29.03,56.98
82,32.45,78.21,99.62
83,13.71,27.22,46.83
84,15.33,56.44,36.5
85,18.19,37.81,55.74
86,4.97,7.55,6.32
87,12.42,24.83,33.97
88,8.76,24.4,35.32
89,8.8,19.41,8.36
90,17.36,29.88,51.56
91,15.56,24.38,35.36
92,12.25,22.6,25.57
93,9.78,10.95,14.72
94,25.73,55.28,66.03
95,16.95,32.15,58.79
96,13.86,26.05,46.38
97,6.21,15.81,22.34
98,7.18,10.23,15.22
99,11.16,17.07,35.73
100,7.27,14.05,19.06
101,4.6,7.97,8.68
102,29.87,38.72,74.39
103,12.07,33.5,42.59
104,25.92,42.88,50.3
105,11.49,38.84,20.7
106,29.49,65.53,89.58
107,8.51,12.07,22.16
108,28.13,37.55,57.18
109,6.51,14.48,19.02
110,11.04,22.05,28.59
111,1.86,2.15,14.82
112,19.98,44.28,70.66
113,28.5,53.09,123.64
114,34.68,68.11,103.18
115,6.53,15.25,18.55
116,17.9,38.28,59.24
117,32.04,69.6,146.23
118,27.02,52.79,82.5
119,26.08,48.77,57.53
120,12.53,28.18,36.77
121,18.96,44.94,74.05
122,19.65,57.38,86.78
123,17.03,21.68,27.97
124,26.12,33.6,77.02
125,29.67,68.18,78.04
126,24.27,93.88,109.57
127,19.65,35.8,52.06
128,11.86,36.56,38.44
129,27.44,62.2,110.62
130,13.58,24.23,29.03
131,11.85,22.07,44.13
132,19.59,34.77,59.2
133,9.23,17.06,24.71
134,7.89,10.6,18.27
135,7.68,24.11,19.97
136,22.6,36.17,56.8
137,29.4,42.24,71.82
138,21.17,27.02,47.23
139,8.02,20.1,25.46
140,16.25,25.19,25.54
141,2.67,12.1,24.97
142,13.24,13.23,57.14
143,17.62,18.93,40.05
144,8.49,23.38,20.41
145,23.06,46.81,59.67
146,7.29,8.45,33.32
147,26.71,46.49,71.72
148,31.45,62.27,78.0
149,12.04,20.38,29.65
150,16.03,33.36,55.1
151,6.54,8.46,18.93
152,10.02,15.66,27.3
153,23.2,28.31,53.41
154,4.31,6.31,23.43
155,6.61,8.63,15.34
156,10.11,24.69,28.75
157,12.04,22.51,47.59
158,5.4,18.36,22.62
159,30.68,82.37,123.79
160,20.12,36.99,53.12
161,21.89,27.41,81.14
162,7.14,15.19,37.28
163,19.04,28.01,51.16
164,7.63,11.62,17.76
165,7.69,14.95,24.0
166,4.93,8.18,17.02
167,16.45,48.22,58.61
168,7.63,10.11,7.85
169,14.21,23.56,31.23
170,13.76,16.74,30.06
171,24.81,41.69,53.49
172,8.94,16.29,29.49
173,18.58,22.2,29.53
174,9.45,31.74,40.7
175,12.74,24.06,42.83
176,10.66,13.36,26.87
177,13.78,37.11,40.11
178,13.4,22.7,31.07
179,9.0,23.13,93.4
180,17.81,25.77,60.2
181,5.39,8.55,28.45
182,36.44,40.66,52.93
183,9.4,18.38,18.98
184,13.73,27.45,62.51
185,13.06,35.25,58.74
186,5.72,14.08,22.46
187,13.74,27.77,33.12
188,14.04,37.94,46.65
189,14.99,21.54,33.13
190,23.59,81.25,117.62
191,12.03,11.78,57.37
192,14.71,19.65,38.37
193,8.47,10.99,14.13
194,17.97,21.37,43.39
195,24.99,35.75,56.13
196,22.83,35.59,63.45
197,30.0,72.72,96.15
198,26.82,86.99,111.01
199,16.32,24.8,57.13
200,6.4,12.62,17.36
201,29.88,63.44,108.73
202,9.04,15.01,28.36
203,6.28,10.84,26.22
204,7.62,12.9,16.35
205,18.97,43.18,107.72
206,6.06,10.33,18.62
207,6.25,13.18,13.68
208,26.54,68.06,93.1
209,14.39,23.64,40.69
210,12.36,21.92,50.93
211,15.52,33.41,37.51
212,5.54,13.2,29.45
213,20.88,23.99,57.11
214,21.4,41.23,42.89
215,8.89,10.41,10.66
216,14.36,55.82,52.28
217,14.64,29.72,44.72
218,21.3,38.48,43.79
219,28.9,59.53,83.05
220,4.8,12.77,9.62
221,25.96,38.66,68.92
222,31.35,66.11,97.47
223,19.76,36.96,41.56
224,6.54,9.65,15.21
225,4.9,7.85,14.29
226,8.95,20.29,32.95
227,12.63,9.87,21.11
