,3,6,9,,3,6,9,linear
0,28.24,117.03,106.86,,38.38,74.25,132.76,
1,27.56,71.7,64.93,,27.14,72.93,90.69,
2,35.51,53.31,64.67,,29.2,33.49,73.75,
3,15.91,34.72,29.59,,14.93,25.68,36.46,
4,26.87,42.2,63.55,,21.63,26.26,53.33,
5,41.03,58.42,87.79,,44,68.48,105.62,
6,44.66,59.24,111.02,,46.86,79.59,142.81,
7,25.21,58.55,64.48,,20.53,51.49,69.04,
8,25.18,34.62,29.53,,15.9,24.99,45.37,
9,31.25,56.18,71.64,,41.09,65.24,84.51,
10,39.86,43.44,48.84,,28.67,43.65,81.31,
11,24.87,44.48,41.22,,21.01,47.56,61.76,
12,37.58,29.12,57.97,,28.43,57.48,62.89,
13,17,15.45,20,,13.78,15.07,16.07,
14,22.77,45.77,41.4,,21.4,39.56,57.16,
15,32.55,60.43,48.74,,28.35,43.65,78.87,
16,15.79,19.71,31.29,,13.52,21.32,33.98,
17,11.02,11.79,23.43,,14.72,12.25,34.72,
18,27.19,29.47,62.69,,26.93,42.63,124.92,
19,9.41,9.18,8.39,,10.98,12.31,13.08,
20,14.12,30.31,39.73,,23.84,22.56,46.65,
21,12.18,69.27,63.96,,32.95,48.07,82.33,
22,13.14,11.21,11,,9.14,13.49,14.16,
23,24.04,73.17,59.9,,30.03,45.01,49.43,
24,23.79,18.17,61.88,,30.87,39.72,134.52,
25,16.79,4.69,17.62,,12.78,7.49,52.08,
26,9.13,11.57,21,,4.71,15.94,8.25,
27,4.86,6.76,7.22,,7.27,10.61,11.37,
28,23,62.01,72.55,,32.26,50.31,77.22,
29,16.25,40.43,47.22,,17.27,36.23,60.82,
30,32.08,82.44,78.06,,36.57,72.37,115.27,
31,7.76,18.31,32.47,,15.66,10.96,46.74,
32,7.04,18.74,17.39,,9.1,6.24,21.49,
33,6.13,47.31,6.39,,3.71,14.17,6.7,
34,19.85,56.2,44.28,,21.02,35.99,61.15,
35,8.93,14.82,18.54,,8.35,7.53,20.7,
