,3,6,9
0,108.2,160.79,212.92
1,111.51,164.49,217.51
2,64.02,92.04,117.81
3,40.28,57.57,74.55
4,48.5,67.75,85.13
5,93.15,132.68,170.67
6,111.21,158.65,202.62
7,94.2,140.99,188.37
8,45.51,65.86,86.5
9,86.43,116.41,143.32
10,62.71,84.75,103.82
11,72.07,104.81,137.22
12,70.02,94.79,116.04
13,19.59,24.5,28.68
14,65.57,95.42,125.26
15,80.72,117.72,155.95
16,30.52,43.52,55.87
17,28.07,37.27,44.98
18,103.76,156.36,207.41
19,21.16,27.74,32.59
20,57.98,79.69,97.38
21,56.58,82.56,107.56
22,15.55,19.66,22.5
23,58.83,80.75,102.97
24,93.95,138.65,180.15
25,26.63,38.61,49.16
26,18.29,24.97,30.27
27,21.48,30.2,38.09
28,77.28,112.87,147.23
29,66.93,102.29,138.21
30,125.95,188.98,251.88
31,34.61,47.51,58.66
32,32.06,45.95,58.91
33,13.13,18.03,22.3
34,76.16,115.47,156.25
35,23.95,34.5,44.62
36,89.9,130.61,170.45
37,41.23,63.38,86.11
38,77.09,106.67,129.52
39,145.94,224.35,304.73
40,57.98,80.02,100.11
41,54.0,80.27,105.0
42,15.97,20.22,23.28
43,20.67,28.73,35.87
44,15.04,20.23,24.75
45,65.27,90.37,113.47
46,54.09,72.09,85.79
47,23.43,31.64,38.33
48,21.06,28.14,34.0
49,38.6,53.22,63.69
50,37.11,50.54,62.41
51,47.28,71.21,95.53
52,102.63,156.91,215.25
53,25.72,39.78,55.44
54,38.91,50.29,58.95
55,86.63,130.87,175.77
56,19.47,26.94,33.88
57,35.24,49.29,62.3
58,66.47,94.16,120.98
59,95.56,146.36,200.21
60,93.31,144.07,197.82
61,40.05,62.44,86.71
62,11.63,15.41,19.01
63,32.31,45.67,57.82
64,56.38,86.69,118.28
65,51.26,80.04,110.14
66,12.02,16.5,20.55
67,40.78,59.55,77.67
68,24.29,35.61,46.52
69,104.61,151.02,194.53
70,22.3,33.18,44.78
71,99.16,151.37,204.77
72,48.67,73.94,100.31
73,54.34,80.02,105.45
74,25.0,37.62,50.73
75,85.92,128.04,170.54
76,14.23,18.42,22.08
77,39.38,61.25,84.67
78,35.55,54.41,73.7
79,28.77,43.26,57.9
80,27.73,38.61,49.15
81,50.56,74.26,98.39
82,118.97,178.95,238.87
83,55.2,83.78,113.64
84,71.13,109.13,149.21
85,72.06,111.79,153.95
86,6.43,7.54,8.27
87,45.37,67.4,89.12
88,47.88,74.05,101.08
89,15.76,20.92,25.16
90,52.18,79.4,107.03
91,33.33,47.52,61.91
92,35.36,55.01,76.41
93,20.6,27.37,33.85
94,81.66,120.37,158.61
95,55.26,84.9,116.34
96,57.48,89.4,124.01
97,31.0,47.68,65.16
98,25.44,38.89,52.93
99,39.43,61.51,85.89
100,23.83,35.9,48.47
101,17.82,26.34,35.34
102,72.72,105.56,138.62
103,48.28,73.02,98.12
104,75.43,110.67,145.5
105,30.09,42.29,53.03
106,114.4,171.36,228.4
107,20.68,29.67,38.25
108,70.48,102.05,129.36
109,22.17,34.29,47.2
110,31.04,46.67,63.23
111,7.9,11.16,14.1
112,99.8,154.08,209.39
113,110.97,168.71,228.27
114,126.77,190.49,252.44
115,18.6,28.33,38.11
116,80.09,122.43,165.84
117,111.68,170.7,230.62
118,107.83,163.29,218.13
119,61.65,89.0,115.27
120,43.92,67.95,93.39
121,79.9,122.35,165.9
122,97.31,150.49,205.3
123,29.08,39.07,48.19
124,61.52,89.28,114.12
125,112.84,172.44,233.33
126,121.31,186.03,252.38
127,67.2,100.46,133.3
128,31.07,46.16,61.78
129,96.59,148.8,202.68
130,17.27,23.73,29.55
131,33.33,50.15,67.31
132,75.75,116.06,158.0
133,38.16,59.42,82.51
134,13.8,19.38,24.58
135,14.75,20.13,24.83
136,76.42,115.86,157.02
137,57.99,80.38,103.84
138,33.96,44.65,53.58
139,26.18,37.82,48.85
140,28.86,40.01,49.78
141,39.13,66.86,99.31
142,33.97,45.31,53.15
143,38.96,56.02,72.35
144,17.29,23.71,29.69
145,73.76,110.13,145.53
146,19.56,26.24,31.16
147,86.15,131.41,178.57
148,65.4,97.51,130.11
149,38.78,58.92,81.2
150,69.95,107.67,147.56
151,16.93,23.93,30.61
152,33.16,48.81,64.3
153,77.87,116.95,157.38
154,20.2,28.27,35.99
155,28.21,44.75,63.9
156,44.39,67.73,91.87
157,26.12,36.43,46.46
158,29.19,44.7,60.79
159,120.37,184.16,249.67
160,71.52,105.2,139.93
161,61.63,91.29,120.21
162,41.27,62.83,84.67
163,75.57,113.28,150.55
164,30.38,47.93,68.02
165,38.16,60.24,84.75
166,21.3,32.73,45.21
167,59.06,86.62,111.98
168,9.58,12.94,16.15
169,32.56,45.65,58.06
170,26.22,36.34,45.16
171,70.75,99.95,127.73
172,33.37,48.31,62.98
173,31.27,41.71,50.7
174,54.03,78.72,103.08
175,57.34,85.21,114.71
176,31.77,48.6,66.96
177,50.66,73.05,94.93
178,35.91,55.32,77.17
179,38.49,60.21,82.83
180,51.4,77.44,104.99
181,12.52,17.22,21.74
182,40.79,50.17,58.31
183,24.73,33.84,41.92
184,65.97,101.59,139.48
185,75.54,119.27,165.52
186,33.25,51.27,70.01
187,49.49,73.03,97.55
188,86.49,124.26,155.96
189,29.1,40.63,52.01
190,121.58,186.76,253.18
191,45.97,70.31,96.19
192,43.35,62.88,82.31
193,15.1,20.22,24.57
194,50.76,75.21,99.68
195,82.39,121.1,157.74
196,40.51,53.5,66.03
197,109.37,160.61,208.49
198,114.23,175.7,238.62
199,54.22,83.07,113.92
200,16.03,22.25,27.86
201,99.74,150.04,200.34
202,38.79,61.73,87.21
203,32.14,50.84,71.83
204,22.33,30.36,37.39
205,89.15,138.25,189.88
206,35.26,56.23,80.08
207,25.56,39.16,53.66
208,116.02,172.15,224.96
209,52.45,82.47,116.08
210,26.22,37.68,49.03
211,49.78,74.14,98.07
212,36.63,57.09,79.51
213,49.53,72.28,96.11
214,62.74,87.3,109.63
215,12.08,13.92,15.25
216,57.09,91.13,128.11
217,51.72,77.12,102.58
218,37.66,52.62,64.98
219,99.85,148.63,198.21
220,13.03,15.76,17.96
221,75.28,113.08,151.54
222,110.74,166.25,222.47
223,60.71,89.63,117.76
224,18.31,21.46,23.9
225,19.05,24.64,28.25
226,22.12,30.64,37.57
227,27.27,37.15,45.88
