Id,Expected
0_15_0,7.029999999999999716e+01
0_15_1,6.490000000000000568e+01
0_15_2,6.790000000000000568e+01
0_15_3,5.679999999999999716e+01
0_15_4,7.229999999999999716e+01
0_15_5,6.740000000000000568e+01
0_15_6,6.339999999999999858e+01
0_15_7,6.179999999999999716e+01
0_15_8,6.250000000000000000e+01
0_15_9,1.619999999999999929e+01
0_15_10,6.200000000000000000e+01
0_15_11,6.609999999999999432e+01
0_15_12,6.479999999999999716e+01
0_15_13,7.050000000000000000e+01
0_15_14,6.120000000000000284e+01
0_15_15,6.360000000000000142e+01
0_15_16,6.509999999999999432e+01
0_15_17,6.459999999999999432e+01
0_15_18,6.970000000000000284e+01
0_15_19,6.850000000000000000e+01
0_15_20,6.050000000000000000e+01
0_15_21,6.389999999999999858e+01
0_15_22,6.709999999999999432e+01
0_15_23,6.479999999999999716e+01
0_15_24,6.609999999999999432e+01
0_15_25,6.490000000000000568e+01
0_15_26,6.870000000000000284e+01
0_15_27,6.490000000000000568e+01
0_15_28,6.379999999999999716e+01
0_15_29,6.179999999999999716e+01
0_15_30,6.540000000000000568e+01
0_15_31,6.809999999999999432e+01
0_15_32,6.490000000000000568e+01
0_15_33,6.959999999999999432e+01
0_15_34,6.479999999999999716e+01
0_15_35,6.520000000000000284e+01
0_15_36,5.770000000000000284e+01
0_15_37,6.479999999999999716e+01
0_15_38,6.709999999999999432e+01
0_15_39,7.009999999999999432e+01
0_15_40,6.609999999999999432e+01
0_15_41,6.740000000000000568e+01
0_15_42,6.820000000000000284e+01
0_15_43,6.500000000000000000e+01
0_15_44,6.010000000000000142e+01
0_15_45,6.750000000000000000e+01
0_15_46,6.520000000000000284e+01
0_15_47,6.890000000000000568e+01
0_15_48,6.640000000000000568e+01
0_15_49,6.720000000000000284e+01
0_15_50,6.500000000000000000e+01
0_15_51,6.470000000000000284e+01
0_15_52,6.329999999999999716e+01
0_15_53,6.470000000000000284e+01
0_15_54,6.509999999999999432e+01
0_15_55,6.909999999999999432e+01
0_15_56,6.389999999999999858e+01
0_15_57,7.020000000000000284e+01
0_15_58,6.970000000000000284e+01
0_15_59,6.850000000000000000e+01
0_15_60,6.720000000000000284e+01
0_15_61,6.500000000000000000e+01
0_15_62,6.500000000000000000e+01
0_15_63,6.070000000000000284e+01
0_15_64,6.509999999999999432e+01
0_15_65,6.459999999999999432e+01
0_15_66,6.400000000000000000e+01
0_15_67,6.900000000000000000e+01
0_15_68,6.490000000000000568e+01
0_15_69,6.729999999999999716e+01
0_15_70,6.459999999999999432e+01
0_15_71,7.179999999999999716e+01
0_15_72,6.490000000000000568e+01
0_15_73,6.329999999999999716e+01
0_15_74,6.490000000000000568e+01
0_15_75,6.709999999999999432e+01
0_15_76,6.379999999999999716e+01
0_15_77,6.870000000000000284e+01
0_15_78,6.540000000000000568e+01
0_15_79,6.500000000000000000e+01
0_15_80,6.600000000000000000e+01
0_15_81,6.570000000000000284e+01
0_15_82,6.570000000000000284e+01
0_15_83,6.679999999999999716e+01
0_15_84,6.700000000000000000e+01
0_15_85,7.220000000000000284e+01
0_15_86,7.040000000000000568e+01
0_15_87,7.050000000000000000e+01
0_15_88,6.490000000000000568e+01
