,3,6,9
0,32.13,76.55,95.95
1,25.43,59.22,79.09
2,23.99,45.45,67.59
3,14.78,25.88,35.59
4,20.17,37.39,51.99
5,37.6,66.78,77.0
6,38.62,74.43,106.0
7,17.43,49.16,56.01
8,15.15,27.96,33.38
9,39.79,52.04,70.97
10,32.04,50.59,64.73
11,19.08,40.46,53.95
12,25.61,51.04,56.17
13,13.48,19.47,22.39
14,21.44,37.2,52.07
15,24.26,44.94,57.82
16,11.57,22.59,32.24
17,12.93,22.65,30.06
18,20.53,36.48,52.45
19,11.55,14.75,22.03
20,23.94,37.81,51.57
21,19.87,37.97,54.25
22,9.17,11.77,13.43
23,29.18,44.31,49.57
24,17.8,37.63,48.69
25,6.79,11.16,14.49
26,6.7,11.97,13.66
27,8.49,13.98,20.21
28,27.42,49.54,66.36
29,14.9,32.38,55.92
30,31.43,57.12,98.82
31,12.57,22.58,26.47
32,10.6,15.12,21.24
33,5.49,10.13,13.15
34,19.89,36.62,38.63
35,8.68,13.54,19.25
36,34.73,62.11,79.59
37,10.18,18.2,24.57
38,24.14,51.51,70.75
39,31.31,59.73,75.49
40,23.95,46.17,60.29
41,11.56,22.56,31.38
42,10.87,16.51,16.18
43,8.08,12.1,19.51
44,7.79,11.77,14.95
45,27.09,52.8,61.74
46,22.86,34.32,45.04
47,7.91,15.92,19.99
48,9.22,16.55,19.7
49,15.55,18.23,33.68
50,16.54,27.43,29.85
51,12.27,21.65,28.23
52,25.45,48.51,62.65
53,7.6,12.11,17.33
54,19.89,30.58,33.93
55,16.64,38.0,55.66
56,8.49,11.77,17.66
57,11.03,20.61,25.25
58,25.71,50.41,61.39
59,17.36,31.63,53.98
60,14.13,27.18,51.8
61,7.27,13.67,21.0
62,6.74,9.84,12.01
63,11.77,20.56,24.32
64,11.4,21.27,30.99
65,12.24,20.06,26.72
66,6.46,9.74,11.74
67,13.46,23.1,32.11
68,7.71,13.24,16.47
69,28.26,54.74,68.67
70,7.36,11.81,18.02
71,17.93,33.7,54.05
72,13.02,25.2,29.86
73,15.53,33.65,45.98
74,7.25,11.02,13.31
75,21.58,47.57,61.92
76,8.48,10.65,12.14
77,8.38,17.54,19.13
78,7.74,19.29,26.96
79,7.86,15.84,22.43
80,12.4,16.73,18.05
81,15.06,27.09,37.04
82,27.4,63.88,100.59
83,17.38,26.74,41.0
84,15.26,27.31,33.81
85,12.37,23.5,28.3
86,5.09,5.97,6.91
87,13.17,27.1,33.25
88,11.29,25.33,35.22
89,6.77,12.46,13.05
90,14.17,22.22,34.47
91,14.04,21.72,29.52
92,8.64,15.23,18.63
93,11.88,14.22,15.55
94,16.81,33.32,42.65
95,11.84,22.72,32.41
96,13.45,21.67,22.45
